subid,proba,pred
USM-0050486,41.0,0.0
UM-1-0050381,43.33,0.0
UCLA-1-0051281,50.67,1.0
USM-0050532,40.0,0.0
Olin-0050115,35.67,0.0
UCLA-1-0051280,41.0,0.0
USM-0050488,20.67,0.0
USM-0050501,37.33,0.0
Yale-0050619,36.33,0.0
UCLA-1-0051264,47.33,0.0
UCLA-1-0051266,49.67,0.0
Caltech-0051469,23.33,0.0
USM-0050485,24.33,0.0
USM-0050521,45.0,0.0
UM-2-0050382,31.33,0.0
USM-0050526,32.0,0.0
UCLA-1-0051279,47.67,0.0
Trinity-0050247,46.67,0.0
KKI-0050819,38.0,0.0
USM-0050442,24.0,0.0
UCLA-1-0051208,46.0,0.0
Trinity-0050269,24.0,0.0
UM-1-0050320,41.0,0.0
UM-2-0050390,30.67,0.0
CMU-b-0050657,34.33,0.0
MaxMun-c-0051340,42.33,0.0
USM-0050483,32.0,0.0
UCLA-1-0051225,56.33,1.0
Trinity-0050268,23.0,0.0
Trinity-0050270,32.0,0.0
UCLA-1-0051237,46.67,0.0
Pitt-0050045,52.0,1.0
USM-0050514,24.67,0.0
UCLA-1-0051204,48.0,0.0
Trinity-0050254,41.67,0.0
UCLA-1-0051248,44.67,0.0
UM-2-0050427,31.33,0.0
UCLA-1-0051218,45.0,0.0
UM-1-0050351,45.0,0.0
USM-0050439,35.33,0.0
UM-1-0050292,42.0,0.0
UM-2-0050397,46.33,0.0
UCLA-1-0051275,48.67,0.0
Leuven-1-0050710,38.33,0.0
UM-2-0050404,43.0,0.0
CMU-a-0050660,32.67,0.0
USM-0050531,44.33,0.0
Trinity-0050253,47.0,0.0
UM-1-0050285,47.67,0.0
Trinity-0051142,22.67,0.0
UCLA-1-0051223,40.0,0.0
Trinity-0051139,28.33,0.0
USM-0050523,45.0,0.0
USM-0050441,43.33,0.0
CMU-b-0050661,32.67,0.0
UCLA-1-0051265,47.67,0.0
Trinity-0050234,28.33,0.0
USM-0050500,37.33,0.0
USM-0050499,33.0,0.0
Trinity-0051132,24.0,0.0
USM-0050492,28.0,0.0
Trinity-0050264,21.0,0.0
UCLA-2-0051311,48.0,0.0
USM-0050503,30.67,0.0
Trinity-0050257,32.67,0.0
UM-1-0050370,40.0,0.0
CMU-b-0050643,35.33,0.0
UCLA-1-0051231,41.0,0.0
USM-0050493,30.67,0.0
SDSU-0050199,37.67,0.0
UM-2-0050421,40.33,0.0
USM-0050527,23.0,0.0
UCLA-1-0051240,44.33,0.0
UCLA-1-0051205,39.67,0.0
Olin-0050116,40.33,0.0
CMU-a-0050666,40.67,0.0
UCLA-1-0051277,41.67,0.0
USM-0050491,31.0,0.0
UCLA-2-0051308,44.33,0.0
OHSU-0050166,49.0,0.0
UCLA-1-0051214,35.67,0.0
KKI-0050793,41.67,0.0
Trinity-0050255,21.0,0.0
UM-1-0050301,44.67,0.0
Trinity-0051135,42.33,0.0
Leuven-1-0050694,45.67,0.0
UM-1-0050341,28.67,0.0
Caltech-0051456,11.0,0.0
USM-0050447,40.33,0.0
USM-0050453,42.0,0.0
UCLA-1-0051206,44.0,0.0
UM-2-0050415,33.67,0.0
USM-0050525,31.67,0.0
Trinity-0050263,36.0,0.0
CMU-b-0050645,20.33,0.0
USM-0050482,17.0,0.0
UCLA-2-0051298,43.33,0.0
UCLA-1-0051236,44.67,0.0
Trinity-0050243,41.33,0.0
USM-0050502,28.0,0.0
MaxMun-d-0051357,44.67,0.0
CMU-a-0050663,44.67,0.0
MaxMun-a-0051319,43.67,0.0
Yale-0050625,39.33,0.0
USM-0050480,40.0,0.0
Yale-0050616,45.67,0.0
UM-1-0050286,36.0,0.0
USM-0050433,39.0,0.0
Caltech-0051462,21.67,0.0
UCLA-1-0051276,36.33,0.0
UM-1-0050369,31.0,0.0
USM-0050469,38.0,0.0
UCLA-1-0051267,45.0,0.0
UCLA-1-0051202,41.33,0.0
Caltech-0051457,23.0,0.0
KKI-0050803,46.67,0.0
UM-2-0050405,42.33,0.0
UCLA-1-0051261,38.67,0.0
UM-1-0050374,43.0,0.0
UCLA-1-0051260,45.33,0.0
Caltech-0051458,18.33,0.0
Trinity-0050267,32.67,0.0
Caltech-0051490,18.0,0.0
Caltech-0051461,25.0,0.0
UCLA-1-0051255,43.33,0.0
UM-1-0050318,45.67,0.0
SDSU-0050205,31.33,0.0
Trinity-0050239,46.33,0.0
Trinity-0051138,40.33,0.0
USM-0050448,38.67,0.0
Leuven-2-0050727,42.67,0.0
CMU-b-0050658,31.67,0.0
CMU-b-0050667,30.67,0.0
USM-0050498,28.67,0.0
UM-1-0050377,41.67,0.0
UM-1-0050329,38.0,0.0
KKI-0050818,29.33,0.0
Pitt-0050046,43.67,0.0
UM-1-0050364,45.67,0.0
Trinity-0051141,29.33,0.0
CMU-a-0050665,23.33,0.0
USM-0050519,32.0,0.0
Leuven-1-0050711,37.67,0.0
Caltech-0051483,10.67,0.0
UCLA-1-0051217,37.33,0.0
USM-0050438,38.67,0.0
Trinity-0050271,14.67,0.0
USM-0050510,22.67,0.0
Caltech-0051470,19.33,0.0
USM-0050529,37.33,0.0
USM-0050445,35.67,0.0
Trinity-0050251,27.0,0.0
Trinity-0050233,27.67,0.0
Trinity-0050260,34.67,0.0
USM-0050437,41.0,0.0
UM-1-0050310,41.33,0.0
CMU-b-0050655,42.67,0.0
29395,47.67,0.0
29222,67.0,1.0
29595,21.67,0.0
29311,97.33,1.0
29194,47.33,0.0
29182,38.33,0.0
29198,43.33,0.0
29166,47.33,0.0
29414,54.33,1.0
28837,43.33,0.0
29224,42.67,0.0
29667,46.0,0.0
29552,35.0,0.0
28902,34.67,0.0
28997,38.67,0.0
29365,33.0,0.0
29122,41.67,0.0
28894,33.67,0.0
29357,45.33,0.0
29084,36.33,0.0
29320,71.0,1.0
29193,42.67,0.0
29878,98.33,1.0
29123,39.67,0.0
29900,96.67,1.0
28759,46.67,0.0
28760,44.0,0.0
29152,39.67,0.0
29897,83.67,1.0
29540,52.0,1.0
29358,46.67,0.0
28920,43.0,0.0
29154,42.67,0.0
29012,34.67,0.0
29665,31.67,0.0
29297,47.0,0.0
29608,18.67,0.0
29539,28.0,0.0
29440,41.0,0.0
29108,55.0,1.0
28821,52.67,1.0
28983,42.33,0.0
29349,31.33,0.0
29876,43.0,0.0
28784,95.33,1.0
28950,40.0,0.0
29189,49.33,0.0
29800,33.33,0.0
29628,89.0,1.0
29584,37.0,0.0
29447,57.67,1.0
29059,27.33,0.0
28755,48.67,0.0
28999,23.33,0.0
29197,45.0,0.0
29599,98.0,1.0
29891,78.67,1.0
28989,44.67,0.0
29150,71.67,1.0
29191,45.33,0.0
29070,39.67,0.0
29063,42.0,0.0
28801,51.67,1.0
28845,48.67,0.0
29587,41.33,0.0
29572,29.0,0.0
29375,41.33,0.0
28762,35.0,0.0
28975,45.67,0.0
28766,89.0,1.0
29249,43.33,0.0
29905,39.0,0.0
29181,42.67,0.0
29865,50.0,0.0
29121,37.0,0.0
29093,45.67,0.0
28767,56.67,1.0
29382,48.33,0.0
29592,26.67,0.0
28826,39.67,0.0
29130,30.0,0.0
29363,95.0,1.0
29007,15.67,0.0
28776,96.67,1.0
29799,35.0,0.0
30013,36.67,0.0
29613,37.67,0.0
28974,46.0,0.0
29333,43.67,0.0
29497,24.0,0.0
29010,22.0,0.0
29575,31.0,0.0
29283,42.0,0.0
29350,44.33,0.0
29088,35.33,0.0
29362,59.67,1.0
29099,43.0,0.0
30017,42.33,0.0
29902,98.33,1.0
29586,22.0,0.0
28761,89.0,1.0
28855,46.67,0.0
29305,34.33,0.0
29156,50.33,1.0
29184,44.67,0.0
29563,37.0,0.0
30162,39.67,0.0
29622,42.0,0.0
29874,44.67,0.0
28994,42.0,0.0
28853,50.33,1.0
29062,97.67,1.0
29576,88.33,1.0
28924,36.0,0.0
29136,36.33,0.0
28752,89.33,1.0
29237,49.67,0.0
28887,44.33,0.0
28816,98.67,1.0
29881,86.67,1.0
29401,41.33,0.0
29431,40.33,0.0
29178,72.67,1.0
29006,15.67,0.0
28836,45.67,0.0
28764,98.0,1.0
29289,39.0,0.0
29378,38.67,0.0
28785,45.33,0.0
29795,36.33,0.0
29057,37.67,0.0
30007,22.0,0.0
28968,39.33,0.0
29451,44.33,0.0
28859,42.0,0.0
29162,43.67,0.0
29618,28.33,0.0
29082,34.67,0.0
29087,29.33,0.0
29253,42.0,0.0
28769,96.0,1.0
29323,45.67,0.0
29581,17.33,0.0
29439,34.33,0.0
29585,24.67,0.0
29615,80.67,1.0
30158,50.33,1.0
29313,41.67,0.0
29250,48.0,0.0
29318,53.33,1.0
29071,38.33,0.0
29155,41.67,0.0
28982,45.0,0.0
30161,43.0,0.0
29483,40.0,0.0
29069,76.33,1.0
29538,24.33,0.0
29394,95.67,1.0
28937,46.0,0.0
28771,71.67,1.0
28903,36.33,0.0
29471,39.67,0.0
29001,40.67,0.0
29325,47.0,0.0
29917,47.33,0.0
28831,84.67,1.0
29208,76.0,1.0
28861,39.0,0.0
29794,28.0,0.0
28885,36.67,0.0
29516,25.33,0.0
28834,42.33,0.0
29102,98.33,1.0
28925,58.0,1.0
28956,41.67,0.0
29898,46.0,0.0
29606,33.33,0.0
30008,19.33,0.0
28873,28.33,0.0
29308,65.0,1.0
28995,43.67,0.0
28980,44.33,0.0
29895,46.67,0.0
29894,98.0,1.0
29288,83.0,1.0
29209,79.0,1.0
29164,42.0,0.0
29190,43.0,0.0
29442,41.33,0.0
29465,25.67,0.0
29204,42.0,0.0
29560,21.0,0.0
29484,35.67,0.0
29567,21.67,0.0
29485,38.67,0.0
28930,59.33,1.0
29877,48.67,0.0
28856,95.0,1.0
29340,50.67,1.0
29904,49.0,0.0
30155,41.0,0.0
29669,60.67,1.0
29410,91.0,1.0
29098,52.67,1.0
28996,45.0,0.0
29328,53.33,1.0
29356,45.0,0.0
29134,55.67,1.0
28857,40.33,0.0
29866,49.33,0.0
28907,52.67,1.0
28744,46.0,0.0
29319,45.67,0.0
29916,47.67,0.0
28813,45.0,0.0
28879,73.33,1.0
29359,41.67,0.0
29321,37.67,0.0
29896,48.67,0.0
29542,27.67,0.0
29334,42.33,0.0
29507,48.33,0.0
29179,92.67,1.0
29285,95.0,1.0
29309,40.67,0.0
29225,44.67,0.0
29133,40.33,0.0
29545,16.0,0.0
29090,27.33,0.0
29003,45.0,0.0
28854,46.0,0.0
29446,39.67,0.0
29512,33.33,0.0
29573,16.0,0.0
29296,42.0,0.0
28802,95.33,1.0
29080,42.67,0.0
28998,46.0,0.0
29076,32.67,0.0
29229,48.33,0.0
28870,32.67,0.0
29998,38.33,0.0
29106,69.67,1.0
28842,38.67,0.0
28990,43.0,0.0
28971,44.0,0.0
28824,67.33,1.0
29079,96.0,1.0
29434,37.67,0.0
29437,46.33,0.0
30027,94.0,1.0
28967,41.33,0.0
29400,47.0,0.0
29241,50.0,0.0
29868,29.33,0.0
29899,67.67,1.0
29281,58.67,1.0
29566,38.67,0.0
29605,26.33,0.0
28820,41.67,0.0
29343,37.0,0.0
28800,44.33,0.0
29522,31.67,0.0
29278,40.33,0.0
28883,44.0,0.0
28840,95.33,1.0
29594,22.0,0.0
29884,94.33,1.0
29912,48.33,0.0
29342,38.33,0.0
28809,92.33,1.0
29242,35.67,0.0
29352,97.0,1.0
28810,24.67,0.0
29443,36.33,0.0
29231,38.0,0.0
29226,44.33,0.0
28823,98.67,1.0
29183,53.33,1.0
29662,26.67,0.0
29330,87.0,1.0
29105,37.67,0.0
29120,40.67,0.0
29893,98.33,1.0
29453,30.33,0.0
29600,25.33,0.0
28793,43.67,0.0
30009,43.0,0.0
29416,95.0,1.0
30010,21.33,0.0
28791,77.33,1.0
29207,93.67,1.0
29377,68.33,1.0
29914,94.0,1.0
29335,46.0,0.0
29188,48.67,0.0
29574,22.33,0.0
29466,55.0,1.0
28807,95.67,1.0
29355,38.33,0.0
29671,36.33,0.0
29886,43.33,0.0
29324,49.0,0.0
29564,14.33,0.0
29163,63.67,1.0
29597,19.0,0.0
29329,46.33,0.0
30023,42.0,0.0
29014,11.0,0.0
28899,48.67,0.0
29404,65.33,1.0
28941,36.67,0.0
29089,23.33,0.0
29160,40.0,0.0
29464,33.0,0.0
29221,48.33,0.0
28742,38.0,0.0
29000,40.67,0.0
29013,9.33,0.0
28970,42.33,0.0
29496,38.0,0.0
28905,44.0,0.0
28829,44.33,0.0
29660,29.67,0.0
28804,52.33,1.0
29114,30.67,0.0
29505,37.0,0.0
28828,40.33,0.0
29292,97.33,1.0
29476,37.67,0.0
28790,41.0,0.0
30019,31.33,0.0
29196,43.0,0.0
28895,45.33,0.0
28981,44.0,0.0
29185,47.0,0.0
29380,40.67,0.0
29602,26.33,0.0
28783,46.0,0.0
28865,46.67,0.0
29397,39.33,0.0
28898,42.33,0.0
29589,20.67,0.0
29450,41.67,0.0
28892,63.67,1.0
29449,45.67,0.0
29470,41.67,0.0
29310,48.0,0.0
29664,32.33,0.0
29199,59.0,1.0
29677,24.0,0.0
29248,39.0,0.0
29889,84.67,1.0
29475,38.33,0.0
28945,33.0,0.0
29883,95.0,1.0
28896,47.33,0.0
29153,42.33,0.0
29634,38.33,0.0
29869,59.33,1.0
29518,40.67,0.0
29498,37.33,0.0
28979,47.67,0.0
29240,44.67,0.0
29562,24.67,0.0
28774,69.0,1.0
29064,96.67,1.0
28750,40.0,0.0
28811,46.67,0.0
28947,45.67,0.0
29454,38.0,0.0
29135,33.33,0.0
29657,38.33,0.0
29399,43.0,0.0
29091,57.67,1.0
29601,16.33,0.0
29392,57.0,1.0
28797,36.33,0.0
29058,28.0,0.0
28978,47.33,0.0
29474,36.0,0.0
28880,36.67,0.0
29180,44.0,0.0
28943,40.0,0.0
29570,38.0,0.0
29366,42.0,0.0
29072,44.33,0.0
29316,39.33,0.0
28803,67.0,1.0
28773,96.33,1.0
29347,39.33,0.0
29445,45.0,0.0
29424,91.33,1.0
29078,95.67,1.0
29588,52.33,1.0
29384,43.33,0.0
28775,97.0,1.0
29457,28.67,0.0
29387,44.33,0.0
28962,41.33,0.0
29875,83.67,1.0
29367,48.0,0.0
29873,97.67,1.0
29544,34.0,0.0
29177,38.33,0.0
29300,35.33,0.0
29060,33.67,0.0
28822,39.0,0.0
28992,37.0,0.0
29364,25.33,0.0
29307,39.33,0.0
29186,41.0,0.0
28935,39.67,0.0
29345,46.67,0.0
29888,43.67,0.0
29593,33.0,0.0
29008,8.33,0.0
28847,40.33,0.0
28908,47.33,0.0
28869,44.33,0.0
28901,47.67,0.0
29294,45.67,0.0
29293,94.67,1.0
29867,43.67,0.0
28754,91.67,1.0
28985,41.33,0.0
28814,44.33,0.0
28964,48.0,0.0
29232,36.0,0.0
29202,43.67,0.0
28884,46.0,0.0
29598,32.33,0.0
28825,89.0,1.0
28778,47.67,0.0
29402,34.33,0.0
29066,46.0,0.0
29403,46.33,0.0
29481,60.33,1.0
29435,36.33,0.0
29131,36.33,0.0
29373,35.67,0.0
29609,34.0,0.0
28782,97.0,1.0
30022,86.0,1.0
29210,53.0,1.0
28746,51.33,1.0
29870,97.0,1.0
29243,38.33,0.0
29171,46.67,0.0
29425,32.33,0.0
29461,75.67,1.0
29361,98.0,1.0
29427,37.0,0.0
28817,60.33,1.0
29626,86.0,1.0
28843,82.33,1.0
29379,47.33,0.0
28753,41.33,0.0
29227,46.67,0.0
28777,93.0,1.0
29620,41.67,0.0
29116,48.67,0.0
30028,19.0,0.0
30164,43.67,0.0
29901,47.0,0.0
28787,29.33,0.0
28876,43.67,0.0
30163,52.33,1.0
29100,93.33,1.0
29368,48.0,0.0
29624,25.33,0.0
29674,25.33,0.0
28942,48.33,0.0
29011,10.33,0.0
29678,31.33,0.0
29353,59.33,1.0
28768,63.67,1.0
30165,45.0,0.0
28878,41.33,0.0
29203,35.33,0.0
28933,57.33,1.0
29172,41.0,0.0
29611,27.0,0.0
28872,41.67,0.0
29376,48.67,0.0
29206,46.33,0.0
29478,30.67,0.0
28977,42.0,0.0
29201,49.67,0.0
29472,43.67,0.0
29571,19.33,0.0
29429,41.67,0.0
29510,34.67,0.0
30016,43.33,0.0
29503,68.67,1.0
28741,55.0,1.0
29616,12.33,0.0
29419,41.0,0.0
29132,41.33,0.0
29890,77.0,1.0
29513,39.67,0.0
29168,40.0,0.0
29526,27.33,0.0
29126,39.67,0.0
29551,36.0,0.0
28891,47.33,0.0
29422,70.67,1.0
29887,55.0,1.0
28976,42.0,0.0
29591,93.33,1.0
29910,62.67,1.0
29390,82.0,1.0
29195,76.0,1.0
28818,96.33,1.0
28788,51.67,1.0
28991,45.33,0.0
29381,48.0,0.0
29629,35.33,0.0
29085,26.0,0.0
30154,38.0,0.0
28888,42.0,0.0
29338,63.0,1.0
29433,49.67,0.0
30002,79.67,1.0
29413,60.67,1.0
29286,47.33,0.0
28988,39.33,0.0
29444,43.0,0.0
29103,36.0,0.0
29557,15.0,0.0
30160,46.33,0.0
29511,47.33,0.0
30156,47.0,0.0
28779,39.0,0.0
29396,49.33,0.0
29372,98.33,1.0
29109,46.67,0.0
29290,98.0,1.0
29326,45.33,0.0
28757,52.0,1.0
28805,85.67,1.0
29228,36.67,0.0
29612,21.67,0.0
29074,35.0,0.0
29631,13.33,0.0
29274,96.0,1.0
29892,46.67,0.0
29077,40.33,0.0
29547,15.0,0.0
29287,47.0,0.0
29213,42.0,0.0
28909,45.67,0.0
28852,42.0,0.0
28835,44.67,0.0
29501,46.33,0.0
29337,42.33,0.0
30015,32.67,0.0
28799,98.33,1.0
29159,38.33,0.0
29556,26.67,0.0
29997,34.67,0.0
29582,26.33,0.0
29009,12.67,0.0
29623,88.67,1.0
29301,42.33,0.0
29666,24.33,0.0
28946,44.67,0.0
29543,34.0,0.0
29561,94.0,1.0
29455,28.33,0.0
29125,51.0,1.0
30024,29.67,0.0
29908,98.67,1.0
29617,27.0,0.0
28944,39.33,0.0
28897,45.67,0.0
28780,48.33,0.0
29233,43.0,0.0
28772,47.67,0.0
30006,35.33,0.0
29500,23.67,0.0
29553,42.33,0.0
29176,43.67,0.0
29659,31.33,0.0
28965,99.0,1.0
29407,35.67,0.0
28751,26.67,0.0
28781,96.33,1.0
29668,33.33,0.0
28874,40.67,0.0
30011,46.33,0.0
29480,78.33,1.0
29104,58.33,1.0
28986,30.0,0.0
29218,42.33,0.0
28993,38.0,0.0
29614,21.67,0.0
28806,33.67,0.0
29661,36.0,0.0
28882,28.67,0.0
28846,44.0,0.0
29872,41.0,0.0
29314,43.33,0.0
30021,18.33,0.0
29627,20.67,0.0
29279,49.33,0.0
29216,62.33,1.0
28758,40.67,0.0
29284,44.67,0.0
29151,89.67,1.0
29619,26.0,0.0
29658,30.67,0.0
28763,44.0,0.0
28940,39.67,0.0
29630,94.33,1.0
29462,33.0,0.0
29117,39.33,0.0
29548,24.0,0.0
29999,95.0,1.0
28863,44.33,0.0
28893,28.33,0.0
29158,44.67,0.0
28841,50.33,1.0
28796,37.33,0.0
29527,89.0,1.0
29495,33.33,0.0
29460,39.0,0.0
29332,42.67,0.0
29275,37.67,0.0
29676,23.33,0.0
29880,98.67,1.0
30004,23.33,0.0
28867,32.67,0.0
29554,28.67,0.0
28748,44.0,0.0
28966,42.67,0.0
29477,34.67,0.0
29885,79.33,1.0
28749,40.33,0.0
29167,68.33,1.0
28953,46.67,0.0
29315,45.0,0.0
29555,15.33,0.0
29580,27.33,0.0
29234,90.67,1.0
29092,26.33,0.0
29370,82.0,1.0
28756,96.67,1.0
28839,62.67,1.0
28963,55.33,1.0
29312,34.0,0.0
29192,55.33,1.0
29909,82.67,1.0
28770,83.67,1.0
29398,98.0,1.0
28927,48.33,0.0
29468,75.33,1.0
28931,39.33,0.0
29073,41.0,0.0
29371,34.0,0.0
28948,53.33,1.0
29094,38.67,0.0
28871,46.33,0.0
29124,36.67,0.0
29165,55.0,1.0
29385,71.0,1.0
29463,34.33,0.0
29679,32.33,0.0
29675,33.33,0.0
29086,27.33,0.0
29568,15.0,0.0
28952,51.0,1.0
29223,80.33,1.0
29423,32.0,0.0
29913,44.67,0.0
28819,96.33,1.0
29541,22.0,0.0
29247,46.0,0.0
28812,44.0,0.0
29469,46.67,0.0
28860,39.33,0.0
29235,46.33,0.0
29244,45.67,0.0
29436,58.33,1.0
28900,38.0,0.0
29107,33.33,0.0
29306,45.0,0.0
29412,38.0,0.0
28827,47.67,0.0
28973,37.67,0.0
29065,47.67,0.0
29420,40.0,0.0
29096,57.33,1.0
28838,96.67,1.0
29632,91.67,1.0
28862,55.0,1.0
28926,48.67,0.0
30029,39.0,0.0
29523,19.33,0.0
28794,94.67,1.0
29277,38.33,0.0
29452,60.0,1.0
29621,40.67,0.0
29903,48.67,0.0
29113,87.67,1.0
29211,37.67,0.0
29441,42.0,0.0
29005,41.0,0.0
29656,22.33,0.0
29411,44.67,0.0
29205,36.33,0.0
29797,40.0,0.0
29097,54.33,1.0
29129,36.33,0.0
28877,52.0,1.0
28904,43.67,0.0
28864,29.0,0.0
29438,44.67,0.0
29236,47.33,0.0
29482,35.0,0.0
28792,49.67,0.0
29115,38.67,0.0
29590,18.67,0.0
29596,37.33,0.0
29220,45.0,0.0
28743,43.67,0.0
29458,90.33,1.0
29383,44.67,0.0
29081,49.0,0.0
29418,86.33,1.0
28765,53.0,1.0
29276,50.33,1.0
30157,39.67,0.0
29327,51.67,1.0
28938,42.33,0.0
29386,45.67,0.0
29273,59.0,1.0
28889,46.0,0.0
29157,44.33,0.0
29299,41.33,0.0
29506,48.0,0.0
28955,43.33,0.0
29067,98.33,1.0
29519,30.33,0.0
29915,95.67,1.0
29083,32.33,0.0
28936,67.33,1.0
29128,40.0,0.0
29882,93.0,1.0
28939,43.67,0.0
29219,51.67,1.0
29388,63.33,1.0
28958,39.67,0.0
28747,46.67,0.0
29245,50.0,0.0
29214,50.0,0.0
29119,42.67,0.0
29254,49.0,0.0
29515,45.33,0.0
29118,40.67,0.0
30000,26.67,0.0
28808,42.0,0.0
29417,69.67,1.0
28745,95.0,1.0
28886,56.0,1.0
30001,34.67,0.0
30005,33.0,0.0
29911,48.0,0.0
29215,48.67,0.0
29508,40.33,0.0
29339,43.67,0.0
29295,95.33,1.0
29405,19.33,0.0
28987,43.33,0.0
28786,47.33,0.0
29251,44.67,0.0
29633,38.0,0.0
30020,28.67,0.0
29456,40.67,0.0
29173,43.67,0.0
28954,20.67,0.0
29432,43.33,0.0
28949,44.33,0.0
30014,19.33,0.0
29002,32.67,0.0
29336,46.0,0.0
28890,47.0,0.0
29550,27.67,0.0
29351,39.0,0.0
30166,48.0,0.0
29280,37.67,0.0
30018,33.33,0.0
29504,48.0,0.0
28961,43.33,0.0
29421,37.0,0.0
29175,44.0,0.0
29430,48.33,0.0
29230,42.0,0.0
28881,38.33,0.0
29391,97.0,1.0
29558,40.0,0.0
29217,47.67,0.0
29524,44.0,0.0
29473,39.33,0.0
28844,27.67,0.0
29169,47.67,0.0
29906,47.0,0.0
28957,38.0,0.0
29068,80.67,1.0
28951,50.0,0.0
29549,39.33,0.0
29354,49.33,0.0
29246,45.33,0.0
28984,45.67,0.0
29393,96.67,1.0
28868,44.67,0.0
30167,48.33,0.0
28906,38.33,0.0
29303,57.33,1.0
29796,27.0,0.0
29348,42.0,0.0
29291,43.33,0.0
28969,48.67,0.0
28960,42.67,0.0
29298,51.67,1.0
29603,16.0,0.0
28815,77.67,1.0
29341,50.0,0.0
29170,59.0,1.0
29607,24.0,0.0
28934,87.67,1.0
29302,43.67,0.0
29282,99.33,1.0
29322,35.33,0.0
29075,45.33,0.0
28832,95.0,1.0
29239,48.67,0.0
29127,38.67,0.0
29415,41.0,0.0
29408,97.33,1.0
28875,49.33,0.0
28789,52.33,1.0
29389,50.33,1.0
28972,39.33,0.0
29110,44.67,0.0
29369,35.0,0.0
29101,53.0,1.0
28798,47.67,0.0
28795,44.67,0.0
29004,42.33,0.0
28866,46.33,0.0
29864,49.67,0.0
29111,39.0,0.0
28830,58.0,1.0
28858,39.67,0.0
29625,14.33,0.0
29459,36.33,0.0
